127.0.0.1 - - [14/Sep/2014:00:56:18 +0800] "GET / HTTP/1.1" 200 11452
0:0:0:0:0:0:0:1 - - [14/Sep/2014:00:56:30 +0800] "GET /NewInfo/learn.jsp HTTP/1.1" 200 4321
0:0:0:0:0:0:0:1 - - [14/Sep/2014:00:56:30 +0800] "GET /NewInfo/js/sl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2014:00:56:30 +0800] "GET /NewInfo/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2014:00:56:30 +0800] "GET /NewInfo/img/01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2014:00:56:30 +0800] "GET /NewInfo/img/02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2014:00:56:30 +0800] "GET /NewInfo/img/03.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2014:00:56:30 +0800] "GET /NewInfo/img/Bolt.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2014:00:56:30 +0800] "GET /NewInfo/img/Double.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2014:00:56:30 +0800] "GET /NewInfo/img/silk_texture.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2014:00:56:30 +0800] "GET /NewInfo/img/sprite.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2014:00:56:43 +0800] "GET /NewInfo/css.jsp HTTP/1.1" 200 411
0:0:0:0:0:0:0:1 - - [14/Sep/2014:00:56:48 +0800] "GET /NewInfo/css.jsp HTTP/1.1" 200 411
0:0:0:0:0:0:0:1 - - [14/Sep/2014:00:56:48 +0800] "GET /NewInfo/css.jsp HTTP/1.1" 200 411
0:0:0:0:0:0:0:1 - - [14/Sep/2014:00:56:48 +0800] "GET /NewInfo/css.jsp HTTP/1.1" 200 411
0:0:0:0:0:0:0:1 - - [14/Sep/2014:00:56:48 +0800] "GET /NewInfo/css.jsp HTTP/1.1" 200 411
0:0:0:0:0:0:0:1 - - [14/Sep/2014:00:56:49 +0800] "GET /NewInfo/css.jsp HTTP/1.1" 200 411
0:0:0:0:0:0:0:1 - - [14/Sep/2014:00:56:52 +0800] "GET /NewInfo/css.jsp HTTP/1.1" 200 411
0:0:0:0:0:0:0:1 - - [14/Sep/2014:00:56:53 +0800] "GET /NewInfo/css.jsp HTTP/1.1" 200 411
0:0:0:0:0:0:0:1 - - [14/Sep/2014:00:56:55 +0800] "GET /NewInfo/css.jsp HTTP/1.1" 200 411
0:0:0:0:0:0:0:1 - - [14/Sep/2014:00:56:56 +0800] "GET /NewInfo/css.jsp HTTP/1.1" 200 411
0:0:0:0:0:0:0:1 - - [14/Sep/2014:00:57:26 +0800] "GET /NewInfo/css.jsp HTTP/1.1" 200 408
0:0:0:0:0:0:0:1 - - [14/Sep/2014:00:57:26 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [14/Sep/2014:00:57:35 +0800] "GET /NewInfo/css.jsp HTTP/1.1" 200 411
0:0:0:0:0:0:0:1 - - [14/Sep/2014:00:57:35 +0800] "GET /NewInfo/css.jsp HTTP/1.1" 200 411
0:0:0:0:0:0:0:1 - - [14/Sep/2014:00:57:36 +0800] "GET /NewInfo/css.jsp HTTP/1.1" 200 411
0:0:0:0:0:0:0:1 - - [14/Sep/2014:00:57:36 +0800] "GET /NewInfo/css.jsp HTTP/1.1" 200 411
0:0:0:0:0:0:0:1 - - [14/Sep/2014:00:57:36 +0800] "GET /NewInfo/css.jsp HTTP/1.1" 200 411
0:0:0:0:0:0:0:1 - - [14/Sep/2014:00:57:36 +0800] "GET /NewInfo/css.jsp HTTP/1.1" 200 411
0:0:0:0:0:0:0:1 - - [14/Sep/2014:00:57:38 +0800] "GET /NewInfo/css.jsp HTTP/1.1" 200 408
0:0:0:0:0:0:0:1 - - [14/Sep/2014:00:57:38 +0800] "GET /NewInfo/css.jsp HTTP/1.1" 200 408
0:0:0:0:0:0:0:1 - - [14/Sep/2014:00:57:38 +0800] "GET /NewInfo/css.jsp HTTP/1.1" 200 408
0:0:0:0:0:0:0:1 - - [14/Sep/2014:00:57:38 +0800] "GET /NewInfo/css.jsp HTTP/1.1" 200 408
0:0:0:0:0:0:0:1 - - [14/Sep/2014:00:57:38 +0800] "GET /NewInfo/css.jsp HTTP/1.1" 200 408
0:0:0:0:0:0:0:1 - - [14/Sep/2014:00:57:39 +0800] "GET /NewInfo/css.jsp HTTP/1.1" 200 408
0:0:0:0:0:0:0:1 - - [14/Sep/2014:00:57:39 +0800] "GET /NewInfo/css.jsp HTTP/1.1" 200 408
0:0:0:0:0:0:0:1 - - [14/Sep/2014:00:57:39 +0800] "GET /NewInfo/css.jsp HTTP/1.1" 200 408
0:0:0:0:0:0:0:1 - - [14/Sep/2014:00:57:47 +0800] "GET /NewInfo/css.jsp HTTP/1.1" 200 411
0:0:0:0:0:0:0:1 - - [14/Sep/2014:00:57:50 +0800] "GET /NewInfo/css.jsp HTTP/1.1" 200 411
0:0:0:0:0:0:0:1 - - [14/Sep/2014:00:58:00 +0800] "GET /NewInfo/css.jsphttp://localhost:8060/NewInfo/css.jsp HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [14/Sep/2014:00:58:02 +0800] "GET /NewInfo/css.jsp HTTP/1.1" 200 408
0:0:0:0:0:0:0:1 - - [14/Sep/2014:01:05:49 +0800] "GET /NewInfo/css.jsp HTTP/1.1" 200 410
0:0:0:0:0:0:0:1 - - [14/Sep/2014:01:05:49 +0800] "GET /NewInfo/css.jsp HTTP/1.1" 200 410
0:0:0:0:0:0:0:1 - - [14/Sep/2014:01:08:49 +0800] "GET /NewInfo/learn.jsp HTTP/1.1" 200 4321
0:0:0:0:0:0:0:1 - - [14/Sep/2014:01:09:03 +0800] "GET /NewInfo/css.jsp HTTP/1.1" 200 409
0:0:0:0:0:0:0:1 - - [14/Sep/2014:01:09:03 +0800] "GET /NewInfo/css.jsp HTTP/1.1" 200 409
0:0:0:0:0:0:0:1 - - [14/Sep/2014:01:09:03 +0800] "GET /NewInfo/css.jsp HTTP/1.1" 200 409
0:0:0:0:0:0:0:1 - - [14/Sep/2014:01:09:03 +0800] "GET /NewInfo/css.jsp HTTP/1.1" 200 409
0:0:0:0:0:0:0:1 - - [14/Sep/2014:01:09:03 +0800] "GET /NewInfo/css.jsp HTTP/1.1" 200 409
0:0:0:0:0:0:0:1 - - [14/Sep/2014:01:09:03 +0800] "GET /NewInfo/css.jsp HTTP/1.1" 200 409
0:0:0:0:0:0:0:1 - - [14/Sep/2014:01:09:03 +0800] "GET /NewInfo/css.jsp HTTP/1.1" 200 409
0:0:0:0:0:0:0:1 - - [14/Sep/2014:01:09:03 +0800] "GET /NewInfo/css.jsp HTTP/1.1" 200 409
